0,Attr_V,Attr_W,Attr_X,Attr_Y,Attr_Z,Class
8.2,8.07,7.87,4.04,3.1,5.82,0
8.1,7.91,-0.11,8.18,7.93,5.14,0
7.92,8.08,0.02,2.95,7.13,2.9,0
-0.16,0.14,-0.12,2.84,2.91,4.1,0
8.06,-0.02,7.89,5.8,0.85,1.84,1
8.04,0.18,8.01,4.85,-0.19,1.0,1
-0.08,-0.0,-0.07,6.18,1.85,4.15,1
0.15,-0.05,0.17,1.84,1.07,0.1,0
0.01,0.11,-0.08,1.85,6.14,2.02,0
8.16,-0.12,7.86,5.83,7.15,1.95,1
-0.15,0.17,8.03,3.02,5.84,4.89,1
8.1,-0.04,-0.13,4.2,3.84,1.07,1
7.91,-0.11,8.15,4.93,7.99,6.07,0
0.02,8.02,7.85,0.15,0.06,4.85,1
0.15,-0.15,8.0,4.99,2.09,1.17,1
0.11,8.02,7.88,1.8,2.86,4.09,0
0.12,-0.04,0.16,0.96,4.98,2.01,0
0.16,8.03,0.07,7.9,4.07,7.97,0
0.05,7.88,-0.19,2.19,2.96,3.05,0
0.09,8.04,0.09,2.89,2.92,0.81,0
-0.03,-0.12,-0.12,6.1,6.87,4.84,0
7.88,7.92,-0.07,2.99,0.97,0.94,1
0.16,8.1,8.13,2.87,1.17,7.18,1
8.13,7.95,7.92,3.91,-0.14,7.94,0
8.09,7.89,8.03,0.88,0.84,2.93,0
7.91,7.97,7.83,4.91,0.95,2.89,1
-0.01,8.11,-0.01,5.86,2.94,4.81,0
0.11,8.14,8.17,3.11,5.09,8.13,1
-0.05,0.12,8.05,6.99,5.01,2.85,1
7.88,7.99,8.2,1.2,6.19,3.85,0
0.15,8.11,7.89,5.13,5.9,5.85,0
8.1,8.02,-0.17,3.17,4.08,1.04,0
0.1,-0.04,0.16,2.15,1.85,2.05,0
0.01,-0.12,-0.07,2.85,6.84,-0.11,0
7.98,0.14,8.1,8.07,3.98,3.07,1
8.13,-0.06,7.9,1.96,0.12,4.96,1
8.09,8.11,0.18,2.85,4.89,7.19,1
-0.18,7.9,-0.16,3.16,-0.05,8.13,1
7.96,0.09,0.18,6.18,1.98,3.06,1
-0.16,0.03,-0.19,4.92,6.87,1.01,1
0.12,7.92,0.03,6.2,2.18,1.85,1
8.16,-0.11,8.1,0.04,4.2,8.14,1
7.88,0.16,0.16,7.01,0.97,1.19,1
-0.17,7.97,7.81,5.07,1.06,7.87,0
-0.05,-0.12,0.04,4.01,3.98,0.13,1
8.02,8.2,0.15,7.16,2.08,0.87,1
8.0,-0.02,8.06,1.17,6.8,7.82,1
7.85,8.17,7.97,0.07,6.14,1.88,0
-0.14,8.0,0.15,0.93,6.96,6.9,1
8.15,8.17,7.9,1.08,1.92,5.92,1
8.06,7.98,0.06,4.98,2.05,2.86,1
7.99,0.1,-0.01,8.01,2.06,5.96,0
7.96,0.1,7.89,1.01,4.06,2.02,0
8.06,8.12,-0.06,1.97,2.84,5.17,1
7.89,7.99,8.19,1.95,0.97,3.17,0
7.97,7.98,-0.13,5.17,8.2,5.08,0
-0.14,-0.08,8.1,2.94,7.98,4.18,0
8.17,0.18,-0.12,0.91,6.15,0.86,0
7.85,-0.01,0.12,8.11,8.01,6.91,0
8.07,-0.1,0.09,7.96,5.03,0.98,1
0.05,7.9,-0.07,6.13,1.82,7.81,0
7.84,0.04,8.15,3.1,1.93,4.97,1
8.14,-0.14,7.96,0.19,6.84,0.94,0
8.03,8.2,7.97,-0.02,4.14,7.02,1
0.01,7.97,8.13,2.18,6.82,1.93,0
8.2,7.94,0.1,2.18,2.03,3.15,0
0.09,-0.2,8.01,5.93,0.12,4.93,0
8.07,0.14,8.11,5.86,-0.07,1.82,1
7.93,8.02,7.98,1.87,2.99,2.06,0
7.92,-0.02,0.1,5.92,6.87,8.04,0
7.81,-0.11,0.06,7.82,6.12,-0.11,1
8.08,0.06,-0.18,6.97,6.84,7.8,0
8.12,8.06,8.05,0.98,6.94,0.89,0
-0.12,8.0,8.17,6.89,0.09,7.83,0
0.04,7.83,7.84,5.83,5.99,7.01,0
8.01,-0.05,0.17,8.16,7.06,-0.03,1
7.8,0.06,-0.07,1.96,0.94,7.98,1
8.2,7.94,-0.11,3.07,2.88,5.08,1
7.93,-0.15,8.1,2.93,4.12,7.11,1
7.97,-0.02,-0.2,-0.01,6.89,3.9,0
8.01,0.13,0.1,2.94,2.81,7.07,1
7.92,8.1,7.85,0.82,7.8,0.13,0
0.04,8.05,8.1,6.17,3.99,0.9,1
0.14,0.11,8.17,2.94,4.12,6.03,1
8.13,0.1,0.03,1.06,1.09,7.93,1
7.87,8.02,7.98,4.82,5.12,5.94,0
7.99,8.08,7.82,1.92,2.13,1.08,0
0.04,-0.12,8.01,5.0,0.02,3.93,1
0.07,8.01,8.11,8.11,1.81,1.84,1
0.15,-0.02,0.04,5.13,7.06,4.81,0
0.2,7.88,7.88,5.98,8.11,0.1,1
-0.14,8.18,0.1,1.07,4.91,8.14,1
7.95,0.06,8.2,7.14,6.17,0.08,1
